,ss_username,cf_username,cf_rating,cc_username,cc_rating
8415,UI_OMEN,ui_omen,1215,uiomen,1473
8416,osho_agyeya,osho_agyeya,1301,osho_agyeya,1473
8417,omega99,omega99,1377,omega_99,1473
8418,crusader300,crusader300,1425,crusader300,1473
8419,usvsnsp,usvsnsp,1518,usvsnsp,1473
8420,Bacura,rpd-strike,1192.3,rpdstrike,1473
8421,alankrit_singh_1,alankrit_singh_1,1192.3,morgo,1473
8422,Ohi1087,ohi1087,1192.3,oho1087,1473
8423,hassanmdsifat,hassanmdsifat,1192.3,hassanmdsifat,1473
8424,gourango_modak,gourango_modak,717,gourango_modak,1472
8425,R_Raihanur,raihanur_r,1556,raihanur_420,1472
8426,zyloc,zyloc,1191.4,zyloc,1472
8427,shr22,null_28,1191.4,okok_28,1472
8428,mnshsh07,mnsh_,1191.4,manishsarswa,1472
8429,eziosam,eziosam,1191.4,eziosam,1472
8430,Azmee,azmee,1191.4,azmee,1472
8431,prateek1,prateek151,680,code_1st,1471
8432,Shruti12,shruti12,741,shruti__1209,1471
8433,rt2700,rt2700,847,rt2700,1471
8434,Shriiar,shriiar,973,shriiar,1471
8435,Benjamin_Engle,royastik27,1366,royastik27,1471
8436,belal_cse,belal20,1367,belal_cse,1471
8437,deepak_5960,deepak_sliet,1396,dks11001728,1471
8438,ash_13,ashay_nayak,1190.6,ash_13,1471
8439,DishenMakwana,dm04,1190.6,dishen,1471
8440,rahul_mishra01,2012ecs01,1190.6,rahul_mishra01,1471
8441,hemanth_5585,hemanth_5585,731,hemanth_5585,1470
8442,realme72,pyaar_do_pyaar_lo,852,gg_72,1470
8443,Tamjid_Islam99,tamjid_islam99,1072,tamjid_99,1470
8444,arafat_hasan,arafat_hasan,1231,arafat_hasan,1470
8445,faceless_void,pariz0,1299,faceless_void,1470
8446,saju,juniper,1189.8,sadekujjaman,1470
8447,Fammo,fatemehmohammadi,1189.8,bdmahani,1470
8448,tanvir___ju,tahmed,1189.8,tanvir_ju,1470
8449,akanksha_lal,thewizlady,1189.8,thewizlady,1470
8450,HelloThapa,shivank96,1189.8,shivank96,1470
8451,Samaresh,samaresh,1189.8,samaresh_ms,1470
8452,KishanMishra1,cse_190310106,359,cse_190310106,1469
8453,s_h_rudra88,s_h_rudra88,943,s_h_rudra88,1469
8454,nikhilmani25,nikhilmani25,959,nikhilmani25,1469
8455,mahtabtanim,mahtab_tanim,993,tanim018,1469
8456,Himanshu106,himanshu106,1439,hishu106,1469
8457,mahadi97,mahadi97,1657,mahadi97,1469
8458,vvk05,vvk05,1188.9,vvk05,1469
8459,guttsman,gustavoguerra,1188.9,gutts,1469
